x	y	classify	taxa
-2.684207125	0.326607315	1	A1
-2.715390616	-0.169556848	1	A2
-2.88981954	-0.13734561	1	A3
-2.746437197	-0.311124316	1	A4
-2.728592982	0.333924564	1	A5
-2.279897361	0.747782713	1	A6
-2.820890682	-0.082104511	1	A7
-2.626481993	0.170405349	1	A8
-2.887958565	-0.570798026	1	A9
-2.673844687	-0.106691704	1	A10
-2.506526789	0.651935014	1	A11
-2.613142718	0.021520632	1	A12
-2.787433976	-0.227740189	1	A13
-3.225200446	-0.503279909	1	A14
-2.643543217	1.186194899	1	A15
-2.383869324	1.344754345	1	A16
-2.622526203	0.818089675	1	A17
-2.648322732	0.319136668	1	A18
-2.199077961	0.879244088	1	A19
-2.587346189	0.520473639	1	A20
-2.310531701	0.397867822	1	A21
-2.543234907	0.440031755	1	A22
-3.215857695	0.141615572	1	A23
-2.303128538	0.105522678	1	A24
-2.356171087	-0.031209589	1	A25
-2.507917227	-0.13905634	1	A26
-2.469055998	0.137887315	1	A27
-2.562390947	0.374684563	1	A28
-2.639821268	0.319290066	1	A29
-2.632847908	-0.190075831	1	A30
-2.588462051	-0.197393079	1	A31
-2.410077337	0.418080008	1	A32
-2.647636673	0.819982633	1	A33
-2.597159477	1.100021928	1	A34
-2.673844687	-0.106691704	1	A35
-2.866999847	0.077193096	1	A36
-2.625228465	0.606800008	1	A37
-2.673844687	-0.106691704	1	A38
-2.981842665	-0.480250049	1	A39
-2.590323026	0.236059337	1	A40
-2.770138911	0.27105942	1	A41
-2.852211082	-0.932865367	1	A42
-2.998296443	-0.334307575	1	A43
-2.405514101	0.195917258	1	A44
-2.208832954	0.44269603	1	A45
-2.715665191	-0.242681483	1	A46
-2.537573371	0.510367545	1	A47
-2.840321297	-0.220576338	1	A48
-2.542685757	0.586281025	1	A49
-2.703912315	0.115010852	1	A50
1.284794588	0.685439186	2	A51
0.932410753	0.31919809	2	A52
1.464061323	0.504189833	2	A53
0.180967206	-0.825603944	2	A54
1.087134487	0.075390389	2	A55
0.64043675	-0.417323483	2	A56
1.09522371	0.283891211	2	A57
-0.751467141	-1.001107513	2	A58
1.043297781	0.228956909	2	A59
-0.010190071	-0.720574867	2	A60
-0.511086196	-1.262491954	2	A61
0.511098061	-0.102284105	2	A62
0.262335756	-0.547893298	2	A63
0.984044545	-0.12436042	2	A64
-0.174864002	-0.251815571	2	A65
0.927572942	0.468236205	2	A66
0.659592789	-0.351976291	2	A67
0.234540586	-0.331921829	2	A68
0.942361707	-0.541822258	2	A69
0.0432464	-0.581489447	2	A70
1.116240724	-0.084214014	2	A71
0.356786568	-0.066823828	2	A72
1.29646885	-0.32756152	2	A73
0.920502649	-0.182390363	2	A74
0.714008214	0.150379153	2	A75
0.899640863	0.32961098	2	A76
1.331041419	0.244669521	2	A77
1.557396272	0.267392585	2	A78
0.812455549	-0.162331575	2	A79
-0.307334756	-0.365086613	2	A80
-0.070342889	-0.702537932	2	A81
-0.191884492	-0.677490544	2	A82
0.13499495	-0.311709643	2	A83
1.378736983	-0.421205138	2	A84
0.587274854	-0.483284268	2	A85
0.807205497	0.195053964	2	A86
1.220428966	0.408035337	2	A87
0.81286779	-0.370678998	2	A88
0.245195162	-0.266728036	2	A89
0.164513428	-0.679661469	2	A90
0.463030989	-0.669526547	2	A91
0.890160446	-0.033812443	2	A92
0.22887905	-0.40225762	2	A93
-0.707081284	-1.008424762	2	A94
0.355533039	-0.503218487	2	A95
0.331126947	-0.211180141	2	A96
0.375238229	-0.291622025	2	A97
0.641690278	0.019071176	2	A98
-0.908463333	-0.751568725	2	A99
0.297807907	-0.347016522	2	A100
2.53172698	-0.011842237	3	A101
1.414072225	-0.574925056	3	A102
2.616484608	0.341935287	3	A103
1.970814946	-0.181125695	3	A104
2.349757984	-0.04188255	3	A105
3.396879921	0.547168046	3	A106
0.519383245	-1.191351689	3	A107
2.932005097	0.352377006	3	A108
2.319672794	-0.245548171	3	A109
2.918134234	0.780380629	3	A110
1.661934947	0.242038401	3	A111
1.802340453	-0.216154607	3	A112
2.165378863	0.215280283	3	A113
1.344594218	-0.776415425	3	A114
1.585267299	-0.539307054	3	A115
1.904743578	0.118818991	3	A116
1.949248782	0.040730259	3	A117
3.48876538	1.171544544	3	A118
3.794686861	0.253265571	3	A119
1.298329825	-0.761013937	3	A120
2.428167259	0.376781971	3	A121
1.198097372	-0.605578962	3	A122
3.499265484	0.456773467	3	A123
1.38766825	-0.204030987	3	A124
2.275853649	0.333386526	3	A125
2.614193831	0.55836695	3	A126
1.257625183	-0.179136997	3	A127
1.290669648	-0.116425252	3	A128
2.122853981	-0.210854885	3	A129
2.387564402	0.462519251	3	A130
2.840960925	0.372742591	3	A131
3.232342898	1.370524036	3	A132
2.158738373	-0.218325532	3	A133
1.443102604	-0.143801289	3	A134
1.779640107	-0.501464795	3	A135
3.076521621	0.685764442	3	A136
2.144986857	0.138906609	3	A137
1.904862925	0.048047508	3	A138
1.168853469	-0.1645025	3	A139
2.107653731	0.371482249	3	A140
2.314303395	0.182608851	3	A141
1.922450885	0.409271176	3	A142
1.414072225	-0.574925056	3	A143
2.563322712	0.275974502	3	A144
2.41939122	0.303503938	3	A145
1.944017049	0.187415222	3	A146
1.525663631	-0.375020848	3	A147
1.764045936	0.078519186	3	A148
1.901629075	0.115876748	3	A149
1.389666133	-0.282886709	3	A150
