f1,f2,f3,classify
-2738.1,-31296,54414,0
-12025,-56573,24550,0
-6034,-49143,38683,0
28386,-52940,18423,3
22835,-46818,-35135,3
13859,-55586,25806,3
31021,-52733,14312,3
1309,-59991,18632,3
25394,-54457,-18370,3
35491,-50687,-10911,3
17715,-51449,-31416,3
19369,-59611,4382.9,3
6467.9,-61538,10911,3
10151,-57572,23028,3
29057,-53147,16703,3
19668,-56059,20456,3
13591,-61305,-2192.8,3
1153.5,-60999,15023,3
29156,-54073,13189,3
-264.19,-60546,16791,3
32238,-53652,5476.2,3
17947,-56633,20456,3
3705.1,-60578,16262,3
12915,-58257,19677,3
5335.8,-60989,14134,3
10776,-61115,9829.1,3
30649,-49049,-24550,3
14969,-60039,-10911,3
23794,-54722,19677,3
27463,-53322,18720,3
29447,-53417,15076,3
29464,-53594,14401,3
35050,-51963,4382.9,3
29902,-53944,11989,3
29467,-43686,-34221,3
25307,-56841,8744.5,3
44560,16219,41221,4
46309,1212.6,42449,4
41435,9820.4,46201,4
33387,17752,50180,4
39587,2768.2,48714,4
42985,13967,43647,4
41647,19420,42851,4
42688,11839,44558,4
39121,10849,47955,4
34601,6101.2,52090,4
29086,14186,53857,4
24756,12074,56473,4
43620,1523.2,45197,4
39055,6185.6,48830,4
45274,18292,39541,4
45667,10082,41961,4
40267,14656,45952,4
25254,-8205.6,56945,4
37445,-5262.6,50180,4
44926,10234,42717,4
31014,14462,52695,4
42127,7074.9,46077,4
32098,14291,52090,4
40362,4361,47955,4
43406,17537,41907,4
37479,20775,45952,4
45022,5847.3,43436,4
38057,3832.2,49848,4
29050,5122.2,55477,4
36350,13230,49512,4
48011,-6747.5,39966,4
39557,18446,45197,4
44313,9756.5,43462,4
42195,16197,43647,4
39116,13852,47179,4
42159,11297,45197,4
48015,-3357.5,40388,4
28493,7634.6,55477,4
42434,5963.7,45952,4
34958,21844,47420,4
36909,-1288.9,50832,4
22270,47758,34221,6
15749,38981,46693,6
12273,45804,41221,6
18611,51132,31416,6
15897,46169,39541,6
24066,41684,40388,6
20787,42621,41221,6
-5455.3,30939,54414,7
-59529,5208.1,-19416,8
-62344,7654.9,1553.4,8
-60702,12903,9829.1,8
-57934,23113,7566.6,8
-61198,14223,-584.86,8
-52407,34033,-6567.7,8
-60528,-8147.9,-14757,8
-58088,22298,-8744.5,8
-58818,-5145.9,-21490,8
-62182,2171.5,-8744.5,8
-58850,13587,-17319,8
-26141,56923,4929.7,9
-31296,54207,-5476.2,9
-24022,57994,2740.7,9
-43663,44431,8201.2,9
-32442,51919,14134,9
-14983,61001,1498.6,9
-38181,40944,-28525,10
-47160,4956.7,-41221,10
-0.001332,57400,25556,11
-486.35,55730,29013,11
-15845,59135,14134,11
-13321,49715,36039,11
13282,57529,21490,11
-37776,34013,36932,11
-28967,38440,40388,11
-30547,39810,37813,11
-15466,57720,19416,11
18341,59990,3562.1,11
-11297,42159,45197,11
-8107.8,57690,23537,11
5798.9,55173,29498,11
9755.8,61596,7657.3,11
-10539,59769,16262,11
-16648,58058,17319,11
55401,2903.5,29498,12
58173,19464,-13599,12
61922,2432.9,10370,12
53220,23695,-23537,12
61184,-2136.6,14134,12
54312,31357,-3835.8,12
61122,12992,6567.7,12
55176,-24566,17319,12
58221,22349,7657.3,12
57384,19759,16262,12
43996,42859,-13242,12
56945,26554,-0.001458,12
60682,16260,-1096.6,12
61984,-5422.9,8744.5,12
61840,10904,2192.8,12
49030,38307,8744.5,12
61506,12793,-1096.6,12
58568,-17423,14632,12
62182,-2171.5,8744.5,12
60740,-10710,11989,12
59365,-15907,13063,12
49505,38677,1096.6,12
48059,26094,-30940,12
61572,-10304,7112.8,12
54457,16649,26554,12
40267,43181,-21490,12
50651,34164,-14668,12
59940,-4191.4,18370,12
49298,12826,36784,12
57752,-12276,21490,12
31623,49733,-21781,12
53082,-4644,33296,12
48880,34226,-19677,12
55711,17033,-23537,12
59810,8405.8,17319,12
61275,8611.7,10911,12
54381,31397,-2192.8,12
62354,7656.1,1096.6,12
59155,-14749,15200,12
35324,51719,-5020.8,12
60894,-12389,9287.1,12
50203,22352,-30461,12
52560,30345,16262,12
47944,29380,-28035,12
51187,35841,-6567.7,12
62207,1266.9,8744.5,12
51449,8148.7,35135,12
53276,33291,1096.6,12
52560,30345,-16262,12
51132,29521,-21490,12
43165,28032,36039,13
48483,27992,28525,13
44018,30536,32830,13
43572,31657,32361,13
42313,30555,34983,13
40558,31687,36039,13
39999,28007,39541,13
34034,34034,40388,14
32278,35225,40806,14
33870,32141,42043,14
35883,43607,27544,15
45030,41991,12527,15
47166,38194,16262,15
32067,42555,33296,15
37906,36605,34221,15
38159,39172,30940,15
31948,49195,22517,15
35497,44228,27050,15
40266,40266,26554,15
40595,46699,10911,15
33739,46437,25556,15
40610,45102,16262,15
